trial,best object,waypoints,RRT min cost,RRT time,trajopt cost,trajopt time,,total time,cost change,,,,
0,2,39,7.105,3.658,5.95,5.162,,8.82,-1.155,,,,
0,2,47,8.476,4.216,6.316,4.232,,8.448,-2.16,,,,
0,2,39,7.025,4.281,6.877,6.409,,10.69,-0.148000000000001,,,,
0,2,42,7.768,4.248,6.658,6.52,,10.768,-1.11,,,,
0,2,44,8.087,4.304,6.042,11.131,,15.435,-2.045,,,,
0,2,37,6.845,3.872,6.024,4.765,,8.637,-0.821,,,,
0,3,47,8.625,4.121,8.059,6.23,,10.351,-0.566000000000001,,,,
0,2,62,11.08,4.021,7.562,16.301,,20.322,-3.518,,,,
0,2,34,5.939,4.045,6.388,2.821,,6.866,0.449,,,,
0,2,45,8.126,4.092,6.691,6.784,,10.876,-1.435,,,,
0,2,41,7.541,4.162,6.456,9.462,,13.624,-1.085,,,,
0,2,49,8.637,3.747,6.624,11.403,,15.15,-2.013,,,,
0,2,43,7.872,4.326,6.772,9.52,,13.846,-1.1,,,,
0,2,41,7.275,4.28,7.187,4.356,,8.636,-0.088,,,,
0,2,39,6.975,4.113,5.9,5.157,,9.27,-1.075,,,,
0,3,66,11.259,4.342,11.392,5.01,,9.352,0.132999999999999,,,,
0,2,43,7.783,4.403,6.044,6.324,,10.727,-1.739,,,,
0,3,47,8.268,3.864,8.149,6.998,,10.862,-0.119000000000002,,,,
0,2,39,7.229,4.132,6.631,3.587,,7.719,-0.598,,,,
0,2,55,10.043,4.061,7.529,11.572,,15.633,-2.514,,,,
0,3,52,9.316,4.132,8.312,9.433,,13.565,-1.004,,,,
0,2,36,6.338,3.759,6.018,3.415,,7.174,-0.32,,,,
0,2,40,7.12,4.091,6.853,5.45,,9.541,-0.267,,,,
0,2,36,6.359,4.312,6.155,4.07,,8.382,-0.204,,,,
0,3,46,8.092,4.438,7.956,9.542,,13.98,-0.136,,,,
0,2,39,7.275,4.313,5.973,3.251,,7.564,-1.302,,,,
0,3,47,8.537,4.062,7.924,7.976,,12.038,-0.613,,,,
0,3,46,8.262,3.861,8.06,7.554,,11.415,-0.202,,,,
0,2,35,6.204,4.165,6.365,3.283,,7.448,0.161,,,,
0,2,35,6.278,3.653,6.311,3.765,,7.418,0.033,,,,
0,2,64,11.352,3.845,7.024,13.414,,17.259,-4.328,,,,
